accounts-qml-module 0.7-8
amd-ucode 20260622-1
amdgpu_top-bin 0.10.3-1
another-redis-desktop-manager-appimage 1.7.1-1
arch-update 3.20.2-1
archlinuxcn-keyring 20260505-1
arduino-ide-bin 2.3.10-1
ark 26.04.2-1
atuin 18.16.1-1
baidunetdisk-bin 4.17.8-1
base 3-3
bear 4.1.4-1
blackarch-keyring 20180925-5
bluez-utils 5.86-6
boost 1.91.0-1
btop 1.4.7-1
c001apk-flutter-git r146.b6ada6e-1
cc-switch-bin 3.16.3-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260428-1
chromium 149.0.7827.196-1
clash-verge-rev 2.5.1-2
claude-code 2.1.193-1
cling 1.2-1
clion 1:2026.1.3-1
cpu-x 5.4.0-3
crypto++ 8.9.0-3
dbeaver 26.1.0-1
debtap 3.6.3-1
devtools-cn-git 14.6424b24-1
discord 1:1.0.144-1
dunst 1.13.2-1
efibootmgr 18-4
egl-wayland 4:1.1.21-1
electron30-bin 30.5.1-2
esp-idf 6.0.1-1
exfat-utils 1.4.0-4
fastfetch 2.65.1-1
fcitx5-breeze 3.1.0-1
fcitx5-chinese-addons 5.1.13-1
fcitx5-configtool 5.1.14-1
fcitx5-gtk 5.1.7-1
fcitx5-pinyin-custom-pinyin-dictionary 20260101-1
fcitx5-pinyin-moegirl 20260511-1
fcitx5-pinyin-zhwiki 1:0.3.0.20260416-2
ffmpeg4.4 4.4.8-2
filezilla 3.70.6-1
firefox 152.0.3-1
flameshot 14.0.0-1
gemini-cli-git 1:r6263.g4d3dcdce1f-1
git-lfs 3.7.1-1
gitui 0.28.1-2
global 6.6.14-1
go 2:1.26.4-1
google-chrome 149.0.7827.196-1
goverlay 1.8.4-1
grpc 1.81.1-1
gwenview 26.04.2-1
htop 3.5.1-1
hyprland 0.55.4-1
hyprland-qt-support 0.1.0-12
hyprpaper 0.8.4-2
iftop 1.0pre4-6
inter-font 4.1-1
kate 26.04.2-1
kdesdk-thumbnailers 26.04.2-1
kitty 0.47.1-1
krfb 26.04.2-1
lib32-attr 2.5.2-2
lib32-gettext 1.0-1
lib32-giflib 6.1.3-1
lib32-gst-plugins-base-libs 1.28.4-1
lib32-gtk3 1:3.24.52-1
lib32-libpcap 1.10.6-1
lib32-libxslt 1.1.45-1
lib32-mpg123 1.33.5-1
lib32-ocl-icd 2.3.3-1
lib32-openal 1.25.2-1
lib32-pcsclite 2.5.1-1
lib32-v4l-utils 1.32.0-1
libkrun 1.19.1-1
libliftoff 0.5.0-1
libreoffice-fresh 26.2.4-3
linuxqq-nt-bwrap 3.2.29_260528-1
litehtml 0.10-1
lld 22.1.6-1
lua-argparse 0.7.2-1
lua53 5.3.6-4
luacheck 1.2.0-4
lutris 0.5.22-1
mariadb 12.3.2-2
minizip-ng 4.2.1-1
mitmproxy 12.2.3-1
nano 9.1-1
network-manager-applet 1.36.0-2
nmap 7.99-2
nvtop 3.3.2-1
okular 26.04.2-1
opencl-headers 2:2025.07.22-1
openssl-1.1 1.1.1.w-11
patchelf 0.18.0-4
physfs 3.2.0-5
plasma-meta 6.7-2
plasma6-applets-arch-update-notifier 6.6.1.r0.g173596d-2
podman 5.8.3-1
python-opencv 4.13.0-11
python-passlib 1.7.4-11
python-pyasn1-modules 0.4.2-2
python-pytz 2026.1-1
qbittorrent-enhanced-git 5.2.1.10.r0.g18cfcc695-2
qca-qt5 2.3.10-7
qtcreator 20.0.0-1
ranger 1.9.4-5
redis 8.8.0-1
rslsync 3.1.2-1
scrcpy 4.0-1
sdl2_ttf 2.24.0-2
simple-live-app 1.11.4-1
snapper 0.13.1-2
spotify-launcher 0.6.6-1
spotube-bin 5.1.2-1
steam 1.0.0.86-1
swayimg 5.4-1
ttf-maplemono-nf-cn-unhinted 7.9-1
ttf-sarasa-gothic 1.0.39-1
turtle-wow 2.3.1-21
ventoy-bin 1.1.16-1
virtualbox 7.2.10-3
visual-studio-code-bin 1.126.0-1
vlc 3.0.23_2-9
vsftpd 3.0.5-2
vulkan-headers 1:1.4.350.1-1
waybar 0.15.0-2
waydroid 1.6.3-1
wechat-universal-bwrap 4.1.1.7-2
wireless_tools 30.pre9-5
wireshark-qt 4.7.1-1
wofi 1.5.3-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xorg-xinit 1.4.4-1
yajl 2.1.0-7
yazi 26.5.6-4
youtube-dl-git 2021.12.17.r483.956b8c5855-2
zed 1.8.2-1
zip 3.0-13
zram-generator 1.2.1-1
zsh-theme-powerlevel10k 1:1.20.17-1
